#separator:tab
#html:true
#tags column:8
Spanish	English	Swedish	Tag	Example ES	Example EN	Comment	Tag
El estado mental	The mental state	Sinnestillstånd ✓	Noun	El estado mental de una persona puede afectar su comportamiento.	The mental state of a person can affect their behavior.	The term estado mental is often used in psychology to describe a persons emotional and cognitive conditions.	Noun
Estar a medio construir	In progress	Halvfärdigt ✓	Phrase	La casa está a medio construir.	The house is halfway built.	The phrase Estar a medio construir is commonly used to describe projects that are unfinished or in progress, emphasizing the state of transition.	Phrase
El canto de pájaros	The song of birds	Fågelsång ✓	Noun	El canto de pájaros es hermoso.	The song of birds is beautiful.	Fun fact: El canto de pájaros captures the essence of nature and is often used in poetry to evoke feelings of peace and tranquility.	Noun
Las carretas sin asfaltar	The unpaved roads	Grusvägarna ✓	Noun	Las carretas sin asfaltar son difíciles de transitar.	The unpaved roads are difficult to travel on.	The term carretas originally referred to carts or wagons used for transporting goods, highlighting the historical significance of roads for trade and travel.	Noun
Las camisas veraniegas	The summer shirts	Sommarskjortor ✓	Noun	Las camisas veraniegas son muy coloridas.	The summer shirts are very colorful.	The term camisa comes from the Latin camisia, which refers to a garment worn close to the skin.	Noun
Sobre todo / ante todo	Above all	Framför allt ✓	Conjunction/subjunction	Sobre todo, es importante ser amable con los demás.	Above all, it is important to be kind to others.	The phrase Sobre todo is often used to emphasize the most important point in a discussion or to prioritize advice.	Conjunction/subjunction
El libro/cine verde	The reality-based book/movie	Verklighetsbaserad bok/film (även picantes!) ✓	Noun	El libro verde es muy interesante.	The green book is very interesting.	The term libro comes from the Latin liber, meaning book or the inner bark of a tree, indicating its historical use in writing.	Noun
Cobrar igual	Equal pay	Tjäna samma (lön) ✓	Phrase	Todos deberían cobrar igual por el mismo trabajo.	Everyone should earn equal pay for the same job.	The phrase cobrar igual highlights the importance of wage equality, a significant topic in discussions about labor rights and social justice.	Phrase
Dentro de poco	Soon	Snart ✓	Adverb	Dentro de poco iremos al cine.	Soon we will go to the cinema.	The phrase Dentro de poco literally translates to within a short time, highlighting its usage in expressing anticipation for near-future events.	Adverb
Mientras	While	Medan ✓	Conjunction/subjunction	Mientras él estudia, yo hago la cena.	While he studies, I make dinner.	The word mientras comes from the Latin dum, meaning while or as long as.	Conjunction/subjunction
Luz de sol pálido	Pale sunlight	Blekt solsken ✓	Noun	La luz de sol pálido ilumina la habitación.	The pale sunlight illuminates the room.	The phrase Luz de sol pálido evokes a sense of softness and tranquility often found in poetry.	Noun
El campo	The field	Fältet (eller landsbygden) ✓	Noun	El campo es tranquilo y hermoso.	The field is calm and beautiful.	El campo comes from Latin campo, which means field or plain and is often associated with rural life in Spanish-speaking countries.	Noun
La bocina	The horn	Tutan (bil) ✓	Noun	La bocina suena fuerte.	The horn sounds loud.	The word bocina derives from the Latin bucina, which referred to a type of horn used in ancient Rome.	Noun
El desmonte	The clearing	Gläntan ✓	Noun	El desmonte es un lugar donde se han eliminado los árboles.	The clearing is a place where trees have been removed.	The term desmonte comes from the Spanish verb desmontar, meaning to take apart or clear away, often used in agricultural or forestry contexts.	Noun
El bosquecillo	The wooded area	Skogspartiet ✓	Noun	El bosquecillo está lleno de vida.	The wooded area is full of life.	The word bosquecillo derives from the Spanish bosque meaning forest, with the diminutive suffix -cillo suggesting a smaller or lesser version of a forest.	Noun
La cola	The tail	Kön ✓	Noun	La cola es larga.	The tail is long.	The word cola originates from the Latin cauda, meaning tail.	Noun
